Domain,Base Domain,Canonical URL,Live,Redirect,Redirect To,Valid HTTPS,Defaults to HTTPS,Downgrades HTTPS,Strictly Forces HTTPS,HTTPS Bad Chain,HTTPS Bad Hostname,HTTPS Expired Cert,HTTPS Self Signed Cert,HSTS,HSTS Header,HSTS Max Age,HSTS Entire Domain,HSTS Preload Ready,HSTS Preload Pending,HSTS Preloaded,Base Domain HSTS Preloaded,Domain Supports HTTPS,Domain Enforces HTTPS,Domain Uses Strong HSTS,Unknown Error
calciopadovafemminile.it,calciopadovafemminile.it,https://www.calciopadovafemminile.it,True,False,,True,True,False,False,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
acsipadova.it,acsipadova.it,http://acsipadova.it,True,True,http://www.entinoprofit.org,False,False,False,False,True,True,False,True,False,,,False,False,False,False,False,False,False,False,False
koreos.it,koreos.it,https://www.koreos.it,True,False,,True,True,False,False,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
cin-padova.it,cin-padova.it,http://www.cin-padova.it,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
centrobeethoven.it,centrobeethoven.it,https://www.centrobeethoven.it,True,False,,True,True,False,False,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
nondimenticare.com/wp/,com/wp/,http://www.nondimenticare.com/wp/,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
2001team.com,2001team.com,http://2001team.com,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False
cifpadova.it,cifpadova.it,http://www.cifpadova.it,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
ceccarelloinnovazionesrl.it,ceccarelloinnovazionesrl.it,http://ceccarelloinnovazionesrl.it,False,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
centrodarte.it,centrodarte.it,https://www.centrodarte.it,True,False,,True,True,False,False,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
autismopadova.it,autismopadova.it,http://www.autismopadova.it,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
centrodanzapadova.it,centrodanzapadova.it,http://www.centrodanzapadova.it,True,False,,False,False,False,False,True,True,False,True,False,,,False,False,False,False,False,False,False,False,False
antonianum.info,antonianum.info,http://www.antonianum.info,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
scienzaegoverno.org,scienzaegoverno.org,http://www.scienzaegoverno.org,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
cilla.it,cilla.it,https://www.cilla.it,True,False,,True,True,False,False,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
contattocemeaveneto.weebly.com,weebly.com,https://contattocemeaveneto.weebly.com,True,False,,True,True,False,False,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
associazioneandreapescia.org,associazioneandreapescia.org,http://associazioneandreapescia.org,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
cittaepartecipazione.it,cittaepartecipazione.it,http://cittaepartecipazione.it,False,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
centrodonnapadova.it,centrodonnapadova.it,http://www.centrodonnapadova.it,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
collegioingegneripadova.it,collegioingegneripadova.it,http://www.collegioingegneripadova.it,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
alisolidali.it,alisolidali.it,http://www.alisolidali.it,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
clubignoranti.it,clubignoranti.it,https://www.clubignoranti.it,True,False,,True,True,True,True,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
muradipadova.it,muradipadova.it,http://www.muradipadova.it,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
circolodellalirica.it,circolodellalirica.it,http://circolodellalirica.it,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
cometaasmme.org,cometaasmme.org,http://www.cometaasmme.org,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
auser.veneto.it/provinciale_padova/,it/provinciale_padova/,http://auser.veneto.it/provinciale_padova/,True,True,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
coroliricoteatroverdi.it,coroliricoteatroverdi.it,http://coroliricoteatroverdi.it,False,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
coropiemme.it,coropiemme.it,http://www.coropiemme.it,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
unicef.it/padova,it/padova,https://www.unicef.it/padova,True,False,,True,True,False,False,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
cospe.org,cospe.org,https://www.cospe.org,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
coralearmoniamundi.it,coralearmoniamundi.it,http://www.coralearmoniamundi.it,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
centrostuditeatralititolivio.it,centrostuditeatralititolivio.it,http://www.centrostuditeatralititolivio.it,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
culturatangopadova.it,culturatangopadova.it,http://www.culturatangopadova.it,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False
aclipadova.it,aclipadova.it,http://www.aclipadova.it,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False
albertinomussato.org,albertinomussato.org,https://albertinomussato.org,True,False,,True,True,False,True,False,False,False,False,True,max-age=86400,86400,False,False,False,False,False,True,True,False,False
minicizotti.it,minicizotti.it,http://www.minicizotti.it,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False
artiitinerantipadova.altervista.org,altervista.org,http://artiitinerantipadova.altervista.org,True,False,,True,False,True,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
assartepadova.it,assartepadova.it,http://www.assartepadova.it,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
cisiamoanchenoi-pd.org,cisiamoanchenoi-pd.org,http://cisiamoanchenoi-pd.org,False,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
